"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"65","Atmospheric Pollution Research","Environment","3.527",45,"Netherlands","Turkish National Committee for Air Pollution Research (TUNCAP)","2010-2020",0.00399,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",2,7,43,45,"16%","4%","16% (7)","4% (2)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","7","43","16.3%","16.3% (7)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"12","26.7%","26.7% (12)",NA,NA,NA,"26","57.8%","57.8% (26)",NA,NA,NA,NA,NA,NA,"7","15.6%","15.6% (7)","29","64.4%","64.4% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","35.6%","35.6% (16)","7","15.6%","15.6% (7)","26","57.8%","57.8% (26)","1","2.2%","2.2% (1)",NA,NA,NA,"11","24.4%","24.4% (11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","13.3%","13.3% (6)",NA,NA,NA,"1","2.2%","2.2% (1)",NA,NA,NA,"38","84.4%","84.4% (38)"
"66","Australasian Journal of Environmental Management","Environment","1.157",25,"United Kingdom","Taylor and Francis Ltd.","1996-2020",0.00047,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,11,28,29,"40%","3%","40% (11)","3% (1)","7","20","35.0%","35.0% (7)","1","2","50.0%","50.0% (1)","4","8","50.0%","50.0% (4)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,"1","3.4%","3.4% (1)","1","3.4%","3.4% (1)",NA,NA,NA,"2","6.9%","6.9% (2)",NA,NA,NA,NA,NA,NA,"25","86.2%","86.2% (25)","27","93.1%","93.1% (27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)","25","86.2%","86.2% (25)","2","6.9%","6.9% (2)",NA,NA,NA,NA,NA,NA,"1","3.4%","3.4% (1)",NA,NA,NA,"1","3.4%","3.4% (1)",NA,NA,NA,"1","3.4%","3.4% (1)","1","3.4%","3.4% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","93.1%","93.1% (27)"
"67","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH","PEO Health","2.079",76,"United States","Wiley-Blackwell","1996-2020",0.00449,"Americas","Western European and Other","North America","High-income",".204",0,14,28,28,"50%","0%","50% (14)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","14","28","50.0%","50.0% (14)","7","8","87.5%","87.5% (7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","100.0%","100.0% (28)","28","100.0%","100.0% (28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","100.0%","100.0% (28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","100.0%","100.0% (28)"
"68","Australian Journal of Primary Health","PEO Health",".975",30,"Australia","CSIRO","2001-2020",0.00155,"Western Pacific","Western European and Other","East Asia and Pacific","High-income",".097",0,15,21,21,"72%","0%","72% (15)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","15","21","71.4%","71.4% (15)","5","7","71.4%","71.4% (5)",NA,NA,NA,NA,NA,NA,NA,"1","4.8%","4.8% (1)",NA,NA,NA,"1","4.8%","4.8% (1)",NA,NA,NA,NA,NA,NA,"19","90.5%","90.5% (19)","20","95.2%","95.2% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4.8%","4.8% (1)","19","90.5%","90.5% (19)","1","4.8%","4.8% (1)",NA,NA,NA,NA,NA,NA,"1","4.8%","4.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4.8%","4.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","95.2%","95.2% (20)"
"69","Australian Journal of Rural Health","PEO Health","1.464",49,"United Kingdom","Wiley-Blackwell Publishing Ltd","1992-2020",0.0012,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,10,29,29,"34%","0%","34% (10)","0% (0)","1","2","50.0%","50.0% (1)","0","1","0.0%","0.0% (0)","9","27","33.3%","33.3% (9)","7","14","50.0%","50.0% (7)",NA,NA,NA,NA,NA,NA,NA,"5","17.2%","17.2% (5)",NA,NA,NA,"3","10.3%","10.3% (3)",NA,NA,NA,NA,NA,NA,"21","72.4%","72.4% (21)","29","100.0%","100.0% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","72.4%","72.4% (21)","3","10.3%","10.3% (3)",NA,NA,NA,NA,NA,NA,"5","17.2%","17.2% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","100.0%","100.0% (29)"
"70","BIODIVERSITY AND CONSERVATION","Environment","2.935",131,"Netherlands","Springer Netherlands","1992-2020",0.01035,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",1,7,56,57,"12%","2%","12% (7)","2% (1)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","7","56","12.5%","12.5% (7)","1","5","20.0%","20.0% (1)",NA,NA,NA,NA,NA,NA,NA,"11","19.3%","19.3% (11)","2","3.5%","3.5% (2)","19","33.3%","33.3% (19)","6","10.5%","10.5% (6)",NA,NA,NA,"19","33.3%","33.3% (19)","39","68.4%","68.4% (39)",NA,NA,NA,"6","10.5%","10.5% (6)",NA,NA,NA,"12","21.1%","21.1% (12)","21","36.8%","36.8% (21)","19","33.3%","33.3% (19)","4","7.0%","7.0% (4)","2","3.5%","3.5% (2)","7","12.3%","12.3% (7)","4","7.0%","7.0% (4)",NA,NA,NA,NA,NA,NA,"1","1.8%","1.8% (1)","16","28.1%","28.1% (16)",NA,NA,NA,"4","7.0%","7.0% (4)",NA,NA,NA,"36","63.2%","63.2% (36)"
"71","BioEnergy Research","Environment","2.195",58,"United States","Springer New York","2009-2020",0.00449,"Americas","Western European and Other","North America","High-income",".204",0,8,35,35,"22%","0%","22% (8)","0% (0)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","8","35","22.9%","22.9% (8)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"23","65.7%","65.7% (23)",NA,NA,NA,"9","25.7%","25.7% (9)",NA,NA,NA,NA,NA,NA,"3","8.6%","8.6% (3)","31","88.6%","88.6% (31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","11.4%","11.4% (4)","3","8.6%","8.6% (3)","9","25.7%","25.7% (9)","3","8.6%","8.6% (3)",NA,NA,NA,"20","57.1%","57.1% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5.7%","5.7% (2)",NA,NA,NA,"3","8.6%","8.6% (3)",NA,NA,NA,"30","85.7%","85.7% (30)"
"72","BIOGEOCHEMISTRY","Environment","4.161",146,"Netherlands","Springer Netherlands","1984-2020",0.01054,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",3,22,56,59,"40%","5%","40% (22)","5% (3)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","22","56","39.3%","39.3% (22)","14","36","38.9%","38.9% (14)",NA,NA,NA,NA,NA,NA,NA,"47","79.7%","79.7% (47)",NA,NA,NA,"8","13.6%","13.6% (8)",NA,NA,NA,NA,NA,NA,"4","6.8%","6.8% (4)","57","96.6%","96.6% (57)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.4%","3.4% (2)","4","6.8%","6.8% (4)","8","13.6%","13.6% (8)",NA,NA,NA,NA,NA,NA,"47","79.7%","79.7% (47)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.4%","3.4% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","96.6%","96.6% (57)"
"73","BIOLOGICAL CONSERVATION","Environment","4.711",199,"Netherlands","Elsevier BV","1968-2020",0.03771,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,15,42,42,"36%","0%","36% (15)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","15","42","35.7%","35.7% (15)","6","11","54.5%","54.5% (6)",NA,NA,NA,NA,NA,NA,NA,"12","28.6%","28.6% (12)",NA,NA,NA,"15","35.7%","35.7% (15)","3","7.1%","7.1% (3)",NA,NA,NA,"12","28.6%","28.6% (12)","35","83.3%","83.3% (35)",NA,NA,NA,"1","2.4%","2.4% (1)",NA,NA,NA,"6","14.3%","14.3% (6)","14","33.3%","33.3% (14)","14","33.3%","33.3% (14)","2","4.8%","4.8% (2)","1","2.4%","2.4% (1)","10","23.8%","23.8% (10)","1","2.4%","2.4% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","16.7%","16.7% (7)","2","4.8%","4.8% (2)","2","4.8%","4.8% (2)",NA,NA,NA,"31","73.8%","73.8% (31)"
"74","BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY","Environment",".654",27,"Ireland","Royal Irish Academy","1993, 1995-2020",0.00019,"Europe","Western European and Other","Europe and Central Asia","High-income",".093",0,3,13,13,"24%","0%","24% (3)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","3","13","23.1%","23.1% (3)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)"
"75","Biomedical and Environmental Sciences","PEO + Environment","2.656",54,"United Kingdom","Elsevier","1988-2020",0.00242,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",5,6,44,49,"14%","10%","14% (6)","10% (5)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","6","44","13.6%","13.6% (6)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,"1","2.0%","2.0% (1)","15","30.6%","30.6% (15)",NA,NA,NA,"8","16.3%","16.3% (8)","1","2.0%","2.0% (1)",NA,NA,NA,"24","49.0%","49.0% (24)","24","49.0%","49.0% (24)",NA,NA,NA,"1","2.0%","2.0% (1)",NA,NA,NA,"24","49.0%","49.0% (24)","25","51.0%","51.0% (25)","8","16.3%","16.3% (8)","1","2.0%","2.0% (1)",NA,NA,NA,"14","28.6%","28.6% (14)",NA,NA,NA,"1","2.0%","2.0% (1)",NA,NA,NA,"1","2.0%","2.0% (1)","24","49.0%","49.0% (24)","3","6.1%","6.1% (3)","1","2.0%","2.0% (1)",NA,NA,NA,"20","40.8%","40.8% (20)"
"76","BIOREMEDIATION JOURNAL","Environment","1.724",35,"United Kingdom","Taylor and Francis Ltd.","1997-2020",0.00028,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,6,32,33,"18%","3%","18% (6)","3% (1)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","6","32","18.8%","18.8% (6)","2","5","40.0%","40.0% (2)",NA,NA,NA,NA,NA,NA,NA,"25","75.8%","75.8% (25)",NA,NA,NA,"3","9.1%","9.1% (3)","1","3.0%","3.0% (1)","3","9.1%","9.1% (3)","1","3.0%","3.0% (1)","29","87.9%","87.9% (29)",NA,NA,NA,NA,NA,NA,"3","9.1%","9.1% (3)","1","3.0%","3.0% (1)","2","6.1%","6.1% (2)","3","9.1%","9.1% (3)","1","3.0%","3.0% (1)",NA,NA,NA,"24","72.7%","72.7% (24)",NA,NA,NA,NA,NA,NA,"3","9.1%","9.1% (3)",NA,NA,NA,"1","3.0%","3.0% (1)","1","3.0%","3.0% (1)","1","3.0%","3.0% (1)","3","9.1%","9.1% (3)","27","81.8%","81.8% (27)"
"77","BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT","Environment","1.319",36,"Belgium","Les Presses Agronomiques de Gembloux","1997-2020",0.00069,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,18,32,32,"56%","0%","56% (18)","0% (0)","14","23","60.9%","60.9% (14)","0","1","0.0%","0.0% (0)","4","9","44.4%","44.4% (4)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"14","43.8%","43.8% (14)",NA,NA,NA,"15","46.9%","46.9% (15)",NA,NA,NA,"1","3.1%","3.1% (1)","2","6.2%","6.2% (2)","26","81.2%","81.2% (26)",NA,NA,NA,"1","3.1%","3.1% (1)","1","3.1%","3.1% (1)","4","12.5%","12.5% (4)","2","6.2%","6.2% (2)","15","46.9%","46.9% (15)","4","12.5%","12.5% (4)",NA,NA,NA,"10","31.2%","31.2% (10)",NA,NA,NA,NA,NA,NA,"1","3.1%","3.1% (1)",NA,NA,NA,"1","3.1%","3.1% (1)",NA,NA,NA,"4","12.5%","12.5% (4)","1","3.1%","3.1% (1)","26","81.2%","81.2% (26)"
"78","BMC Public Health","PEO Health","2.521",143,"United Kingdom","BioMed Central Ltd.","2001-2020",0.07557,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,293,736,736,"40%","0%","40% (293)","0% (0)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,"292","734","39.8%","39.8% (292)","4","13","30.8%","30.8% (4)",NA,NA,NA,NA,"63","8.6%","8.6% (63)","201","27.3%","27.3% (201)","40","5.4%","5.4% (40)","203","27.6%","27.6% (203)","39","5.3%","5.3% (39)",NA,NA,NA,"190","25.8%","25.8% (190)","531","72.1%","72.1% (531)","15","2.0%","2.0% (15)","94","12.8%","12.8% (94)",NA,NA,NA,"96","13.0%","13.0% (96)","201","27.3%","27.3% (201)","201","27.3%","27.3% (201)","18","2.4%","2.4% (18)","29","3.9%","3.9% (29)","183","24.9%","24.9% (183)","41","5.6%","5.6% (41)","63","8.6%","8.6% (63)",NA,NA,NA,"65","8.8%","8.8% (65)","160","21.7%","21.7% (160)","16","2.2%","2.2% (16)","18","2.4%","2.4% (18)",NA,NA,NA,"477","64.8%","64.8% (477)"
"79","BMC Womens Health","PEO Health","1.544",47,"United Kingdom","BioMed Central Ltd.","2001-2020",0.00598,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,51,106,106,"48%","0%","48% (51)","0% (0)","1","1","100.0%","100.0% (1)","1","1","100.0%","100.0% (1)","50","105","47.6%","47.6% (50)","4","7","57.1%","57.1% (4)",NA,NA,NA,NA,"10","9.4%","9.4% (10)","25","23.6%","23.6% (25)","11","10.4%","10.4% (11)","34","32.1%","32.1% (34)","6","5.7%","5.7% (6)",NA,NA,NA,"20","18.9%","18.9% (20)","69","65.1%","65.1% (69)","1","0.9%","0.9% (1)","17","16.0%","16.0% (17)",NA,NA,NA,"19","17.9%","17.9% (19)","20","18.9%","18.9% (20)","34","32.1%","32.1% (34)","3","2.8%","2.8% (3)","11","10.4%","10.4% (11)","22","20.8%","20.8% (22)","6","5.7%","5.7% (6)","10","9.4%","9.4% (10)",NA,NA,NA,"15","14.2%","14.2% (15)","20","18.9%","18.9% (20)","3","2.8%","2.8% (3)","3","2.8%","2.8% (3)",NA,NA,NA,"65","61.3%","61.3% (65)"
"80","BMJ Global Health","PEO Health","4.28",32,"United Kingdom","BMJ Publishing Group","2016-2020",0.01025,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,15,37,37,"40%","0%","40% (15)","0% (0)","11","22","50.0%","50.0% (11)","0","1","0.0%","0.0% (0)","4","15","26.7%","26.7% (4)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"5","13.5%","13.5% (5)","13","35.1%","35.1% (13)",NA,NA,NA,"7","18.9%","18.9% (7)","7","18.9%","18.9% (7)",NA,NA,NA,"5","13.5%","13.5% (5)","24","64.9%","64.9% (24)","1","2.7%","2.7% (1)","10","27.0%","27.0% (10)",NA,NA,NA,"2","5.4%","5.4% (2)","6","16.2%","16.2% (6)","7","18.9%","18.9% (7)","1","2.7%","2.7% (1)",NA,NA,NA,"12","32.4%","32.4% (12)","6","16.2%","16.2% (6)","5","13.5%","13.5% (5)",NA,NA,NA,"5","13.5%","13.5% (5)","7","18.9%","18.9% (7)",NA,NA,NA,"1","2.7%","2.7% (1)",NA,NA,NA,"24","64.9%","64.9% (24)"
"81","BOREAL ENVIRONMENT RESEARCH","Environment","1.1",56,"Finland","Finnish Environment Institute","1996-2020",0.00107,"Europe","Western European and Other","Europe and Central Asia","High-income",".047",0,4,23,23,"18%","0%","18% (4)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","4","23","17.4%","17.4% (4)","3","11","27.3%","27.3% (3)",NA,NA,NA,NA,NA,NA,NA,"3","13.0%","13.0% (3)",NA,NA,NA,"20","87.0%","87.0% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","100.0%","100.0% (23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","87.0%","87.0% (20)",NA,NA,NA,NA,NA,NA,"3","13.0%","13.0% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4.3%","4.3% (1)",NA,NA,NA,NA,NA,NA,"22","95.7%","95.7% (22)"
"82","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","Environment","1.657",70,"United States","Springer New York","1966-2020",0.00461,"Americas","Western European and Other","North America","High-income",".204",3,58,192,195,"30%","2%","30% (58)","2% (3)",NA,NA,NA,NA,"0","0","NA","NA (0)","58","192","30.2%","30.2% (58)","7","34","20.6%","20.6% (7)",NA,NA,NA,NA,"3","1.5%","1.5% (3)","126","64.6%","64.6% (126)","2","1.0%","1.0% (2)","24","12.3%","12.3% (24)","3","1.5%","1.5% (3)",NA,NA,NA,"37","19.0%","19.0% (37)","141","72.3%","72.3% (141)",NA,NA,NA,"6","3.1%","3.1% (6)",NA,NA,NA,"48","24.6%","24.6% (48)","37","19.0%","19.0% (37)","24","12.3%","12.3% (24)","12","6.2%","6.2% (12)","2","1.0%","1.0% (2)","114","58.5%","58.5% (114)","3","1.5%","1.5% (3)","3","1.5%","1.5% (3)",NA,NA,NA,"4","2.1%","2.1% (4)","41","21.0%","21.0% (41)","4","2.1%","2.1% (4)","12","6.2%","6.2% (12)",NA,NA,NA,"134","68.7%","68.7% (134)"
"83","BULLETIN OF THE WORLD HEALTH ORGANIZATION","PEO Health","6.96",168,"Switzerland","World Health Organization","1945, 1949-2020",0.01628,"Europe","Western European and Other","Europe and Central Asia","High-income",NA,0,27,56,56,"48%","0%","48% (27)","0% (0)","22","40","55.0%","55.0% (22)","1","1","100.0%","100.0% (1)","5","16","31.2%","31.2% (5)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,"1","1.8%","1.8% (1)","7","12.5%","12.5% (7)","3","5.4%","5.4% (3)","36","64.3%","64.3% (36)","4","7.1%","7.1% (4)",NA,NA,NA,"5","8.9%","8.9% (5)","49","87.5%","87.5% (49)",NA,NA,NA,"5","8.9%","8.9% (5)",NA,NA,NA,"2","3.6%","3.6% (2)","6","10.7%","10.7% (6)","36","64.3%","64.3% (36)",NA,NA,NA,"3","5.4%","5.4% (3)","7","12.5%","12.5% (7)","3","5.4%","5.4% (3)","1","1.8%","1.8% (1)",NA,NA,NA,"1","1.8%","1.8% (1)","8","14.3%","14.3% (8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","83.9%","83.9% (47)"
"84","Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz","PEO Health","1.059",62,"Germany","Springer Verlag","1999-2020",0.00241,"Europe","Western European and Other","Europe and Central Asia","High-income",".084",0,5,16,16,"32%","0%","32% (5)","0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,"5","16","31.2%","31.2% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)"
"85","Business Strategy and the Environment","Environment","5.483",105,"United Kingdom","John Wiley and Sons Ltd","1992-2020",0.00255,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,24,89,89,"26%","0%","26% (24)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","24","89","27.0%","27.0% (24)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"13","14.6%","14.6% (13)","1","1.1%","1.1% (1)","56","62.9%","62.9% (56)","3","3.4%","3.4% (3)",NA,NA,NA,"16","18.0%","18.0% (16)","77","86.5%","86.5% (77)",NA,NA,NA,"2","2.2%","2.2% (2)",NA,NA,NA,"10","11.2%","11.2% (10)","17","19.1%","19.1% (17)","56","62.9%","62.9% (56)","2","2.2%","2.2% (2)","1","1.1%","1.1% (1)","11","12.4%","12.4% (11)","2","2.2%","2.2% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14.6%","14.6% (13)",NA,NA,NA,"2","2.2%","2.2% (2)",NA,NA,NA,"74","83.1%","83.1% (74)"
"86","Cadernos de Saude Publica","PEO Health","1.408",77,"Brazil","Fundacao Oswaldo Cruz","1998-2020",0.00575,"Americas","Latin America and Caribbean","Latin America and Caribbean","Upper-middle-income",".408",0,17,30,30,"56%","0%","56% (17)","0% (0)",NA,NA,NA,NA,"3","3","100.0%","100.0% (3)","17","30","56.7%","56.7% (17)","3","3","100.0%","100.0% (3)",NA,NA,NA,NA,NA,NA,NA,"27","90.0%","90.0% (27)",NA,NA,NA,"3","10.0%","10.0% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","16.7%","16.7% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","83.3%","83.3% (25)",NA,NA,NA,"3","10.0%","10.0% (3)","25","83.3%","83.3% (25)",NA,NA,NA,"2","6.7%","6.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","83.3%","83.3% (25)",NA,NA,NA,"5","16.7%","16.7% (5)"
"87","CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE","PEO Health","1.638",72,"Canada","Canadian Public Health Association","1945-2020",0.00276,"Americas","Western European and Other","North America","High-income",".08",0,30,47,47,"64%","0%","64% (30)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","30","47","63.8%","63.8% (30)","5","12","41.7%","41.7% (5)",NA,NA,NA,NA,NA,NA,NA,"43","91.5%","91.5% (43)",NA,NA,NA,"3","6.4%","6.4% (3)",NA,NA,NA,NA,NA,NA,"1","2.1%","2.1% (1)","47","100.0%","100.0% (47)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.1%","2.1% (1)","3","6.4%","6.4% (3)",NA,NA,NA,NA,NA,NA,"43","91.5%","91.5% (43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","100.0%","100.0% (47)"
"88","CANCER CAUSES & CONTROL","PEO Health","2.375",134,"Netherlands","Springer Netherlands","1990-2020",0.0094,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",1,43,60,61,"72%","2%","72% (43)","2% (1)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","43","60","71.7%","71.7% (43)","30","35","85.7%","85.7% (30)",NA,NA,NA,NA,NA,NA,NA,"41","67.2%","67.2% (41)",NA,NA,NA,"15","24.6%","24.6% (15)","1","1.6%","1.6% (1)",NA,NA,NA,"4","6.6%","6.6% (4)","61","100.0%","100.0% (61)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","8.2%","8.2% (5)","14","23.0%","23.0% (14)",NA,NA,NA,"1","1.6%","1.6% (1)","41","67.2%","67.2% (41)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4.9%","4.9% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","95.1%","95.1% (58)"
"89","Cancer Epidemiology","PEO Health","2.179",75,"Netherlands","Elsevier BV","2009-2020",0.00803,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",1,16,26,27,"62%","4%","62% (16)","4% (1)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","16","26","61.5%","61.5% (16)","3","5","60.0%","60.0% (3)",NA,NA,NA,NA,NA,NA,NA,"6","22.2%","22.2% (6)",NA,NA,NA,"12","44.4%","44.4% (12)",NA,NA,NA,NA,NA,NA,"9","33.3%","33.3% (9)","25","92.6%","92.6% (25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","7.4%","7.4% (2)","9","33.3%","33.3% (9)","12","44.4%","44.4% (12)","1","3.7%","3.7% (1)",NA,NA,NA,"5","18.5%","18.5% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11.1%","11.1% (3)",NA,NA,NA,"1","3.7%","3.7% (1)",NA,NA,NA,"23","85.2%","85.2% (23)"
